player,team,lg,season,replaced,all-star selections
Bill Laimbeer,East,NBA,1985,False,4
Moses Malone,East,NBA,1985,False,13
Sidney Moncrief,East,NBA,1985,False,5
Robert Parish,East,NBA,1985,False,9
Micheal Ray Richardson,East,NBA,1985,False,4
Jeff Ruland,East,NBA,1985,True,2
Isiah Thomas,East,NBA,1985,False,12
Kareem Abdul-Jabbar,West,NBA,1985,False,19
Rolando Blackman,West,NBA,1985,False,4
Adrian Dantley,West,NBA,1985,False,6
Alex English,West,NBA,1985,False,8
George Gervin,West,NBA,1985,False,12
Magic Johnson,West,NBA,1985,False,12
Larry Nance,West,NBA,1985,False,3
Calvin Natt,West,NBA,1985,False,1
Norm Nixon,West,NBA,1985,False,2
Hakeem Olajuwon,West,NBA,1985,False,12
Ralph Sampson,West,NBA,1985,False,4
Jack Sikma,West,NBA,1985,False,7
Larry Bird,East,NBA,1984,False,12
Otis Birdsong,East,NBA,1984,False,4
Julius Erving,East,NBA,1984,False,16
Bernard King,East,NBA,1984,False,4
Bill Laimbeer,East,NBA,1984,False,4
Moses Malone,East,NBA,1984,True,13
Kevin McHale,East,NBA,1984,False,7
Sidney Moncrief,East,NBA,1984,False,5
Robert Parish,East,NBA,1984,False,9
Jeff Ruland,East,NBA,1984,False,2
Isiah Thomas,East,NBA,1984,False,12
Andrew Toney,East,NBA,1984,False,2
Kelly Tripucka,East,NBA,1984,False,2
Kareem Abdul-Jabbar,West,NBA,1984,False,19
Mark Aguirre,West,NBA,1984,False,3
Adrian Dantley,West,NBA,1984,False,6
Walter Davis,West,NBA,1984,False,6
Alex English,West,NBA,1984,False,8
George Gervin,West,NBA,1984,False,12
Rickey Green,West,NBA,1984,False,1
Magic Johnson,West,NBA,1984,False,12
Jim Paxson,West,NBA,1984,False,2
Ralph Sampson,West,NBA,1984,False,4
Jack Sikma,West,NBA,1984,False,7
Kiki Vandeweghe,West,NBA,1984,False,2
Larry Bird,East,NBA,1983,False,12
Maurice Cheeks,East,NBA,1983,False,4
Julius Erving,East,NBA,1983,False,16
Marques Johnson,East,NBA,1983,False,5
Bill Laimbeer,East,NBA,1983,False,4
Moses Malone,East,NBA,1983,False,13
Sidney Moncrief,East,NBA,1983,False,5
Robert Parish,East,NBA,1983,False,9
Reggie Theus,East,NBA,1983,False,2
Isiah Thomas,East,NBA,1983,False,12
Andrew Toney,East,NBA,1983,False,2
Buck Williams,East,NBA,1983,False,3
Kareem Abdul-Jabbar,West,NBA,1983,False,19
Alex English,West,NBA,1983,False,8
George Gervin,West,NBA,1983,False,12
Artis Gilmore,West,NBA,1983,False,11
Magic Johnson,West,NBA,1983,False,12
Maurice Lucas,West,NBA,1983,False,5
Jim Paxson,West,NBA,1983,False,2
Jack Sikma,West,NBA,1983,False,7
David Thompson,West,NBA,1983,False,5
Kiki Vandeweghe,West,NBA,1983,False,2
Jamaal Wilkes,West,NBA,1983,False,3
Gus Williams,West,NBA,1983,False,2
Tiny Archibald,East,NBA,1982,False,6
Larry Bird,East,NBA,1982,False,12
Julius Erving,East,NBA,1982,False,16
Artis Gilmore,East,NBA,1982,False,11
Bobby Jones,East,NBA,1982,False,5
Bob Lanier,East,NBA,1982,False,8
Sidney Moncrief,East,NBA,1982,False,5
Robert Parish,East,NBA,1982,False,9
Micheal Ray Richardson,East,NBA,1982,False,4
Dan Roundfield,East,NBA,1982,True,3
Isiah Thomas,East,NBA,1982,False,12
Kelly Tripucka,East,NBA,1982,False,2
Buck Williams,East,NBA,1982,False,3
Kareem Abdul-Jabbar,West,NBA,1982,False,19
Adrian Dantley,West,NBA,1982,False,6
Alex English,West,NBA,1982,False,8
George Gervin,West,NBA,1982,False,12
Dennis Johnson,West,NBA,1982,False,5
Magic Johnson,West,NBA,1982,False,12
Bernard King,West,NBA,1982,False,4
Moses Malone,West,NBA,1982,False,13
Norm Nixon,West,NBA,1982,False,2
Lonnie Shelton,West,NBA,1982,False,1
Jack Sikma,West,NBA,1982,False,7
Gus Williams,West,NBA,1982,False,2
Tiny Archibald,East,NBA,1981,False,6
Larry Bird,East,NBA,1981,False,12
Julius Erving,East,NBA,1981,False,16
Artis Gilmore,East,NBA,1981,False,11
Eddie Johnson,East,NBA,1981,False,2
Marques Johnson,East,NBA,1981,False,5
Bobby Jones,East,NBA,1981,False,5
Mike Mitchell,East,NBA,1981,False,1
Robert Parish,East,NBA,1981,False,9
Micheal Ray Richardson,East,NBA,1981,False,4
Dan Roundfield,East,NBA,1981,True,3
Reggie Theus,East,NBA,1981,False,2
Kareem Abdul-Jabbar,West,NBA,1981,False,19
Otis Birdsong,West,NBA,1981,False,4
Adrian Dantley,West,NBA,1981,False,6
Walter Davis,West,NBA,1981,False,6
George Gervin,West,NBA,1981,False,12
Dennis Johnson,West,NBA,1981,False,5
Moses Malone,West,NBA,1981,False,13
Truck Robinson,West,NBA,1981,False,2
Jack Sikma,West,NBA,1981,False,7
Paul Westphal,West,NBA,1981,False,5
Jamaal Wilkes,West,NBA,1981,False,3
Tiny Archibald,East,NBA,1980,False,6
Larry Bird,East,NBA,1980,False,12
Bill Cartwright,East,NBA,1980,False,1
Dave Cowens,East,NBA,1980,True,8
John Drew,East,NBA,1980,False,2
Julius Erving,East,NBA,1980,False,16
George Gervin,East,NBA,1980,False,12
Elvin Hayes,East,NBA,1980,False,12
Eddie Johnson,East,NBA,1980,False,2
Moses Malone,East,NBA,1980,False,13
Micheal Ray Richardson,East,NBA,1980,False,4
Dan Roundfield,East,NBA,1980,False,3
Kareem Abdul-Jabbar,West,NBA,1980,False,19
Otis Birdsong,West,NBA,1980,False,4
Adrian Dantley,West,NBA,1980,False,6
Walter Davis,West,NBA,1980,False,6
World B. Free,West,NBA,1980,False,1
Dennis Johnson,West,NBA,1980,False,5
Marques Johnson,West,NBA,1980,False,5
Magic Johnson,West,NBA,1980,False,12
Jack Sikma,West,NBA,1980,False,7
Kermit Washington,West,NBA,1980,False,1
Scott Wedman,West,NBA,1980,True,2
Paul Westphal,West,NBA,1980,False,5
Doug Collins,East,NBA,1979,True,4
Bob Dandridge,East,NBA,1979,False,4
Julius Erving,East,NBA,1979,False,16
George Gervin,East,NBA,1979,False,12
Elvin Hayes,East,NBA,1979,False,12
Larry Kenon,East,NBA,1979,False,5
Bob Lanier,East,NBA,1979,False,8
Moses Malone,East,NBA,1979,False,13
Pete Maravich,East,NBA,1979,False,5
Calvin Murphy,East,NBA,1979,False,1
Campy Russell,East,NBA,1979,False,1
Rudy Tomjanovich,East,NBA,1979,False,5
Kareem Abdul-Jabbar,West,NBA,1979,False,19
Otis Birdsong,West,NBA,1979,False,4
Walter Davis,West,NBA,1979,False,6
Artis Gilmore,West,NBA,1979,False,11
Dennis Johnson,West,NBA,1979,False,5
Marques Johnson,West,NBA,1979,False,5
Maurice Lucas,West,NBA,1979,False,5
George McGinnis,West,NBA,1979,False,6
Jack Sikma,West,NBA,1979,False,7
David Thompson,West,NBA,1979,False,5
Paul Westphal,West,NBA,1979,False,5
Doug Collins,East,NBA,1978,False,4
Dave Cowens,East,NBA,1978,False,8
Julius Erving,East,NBA,1978,False,16
George Gervin,East,NBA,1978,False,12
John Havlicek,East,NBA,1978,False,13
Elvin Hayes,East,NBA,1978,False,12
Larry Kenon,East,NBA,1978,False,5
Billy Knight,East,NBA,1978,True,3
Moses Malone,East,NBA,1978,False,13
Pete Maravich,East,NBA,1978,True,5
Bob McAdoo,East,NBA,1978,False,5
Truck Robinson,East,NBA,1978,False,2
Randy Smith,East,NBA,1978,False,2
Rick Barry,West,NBA,1978,False,12
Walter Davis,West,NBA,1978,False,6
Artis Gilmore,West,NBA,1978,False,11
Lionel Hollins,West,NBA,1978,False,1
Bobby Jones,West,NBA,1978,False,5
Bob Lanier,West,NBA,1978,False,8
Maurice Lucas,West,NBA,1978,False,5
David Thompson,West,NBA,1978,False,5
Bill Walton,West,NBA,1978,False,2
Paul Westphal,West,NBA,1978,False,5
Brian Winters,West,NBA,1978,False,2
Phil Chenier,East,NBA,1977,False,3
Doug Collins,East,NBA,1977,False,4
Dave Cowens,East,NBA,1977,True,8
Julius Erving,East,NBA,1977,False,16
George Gervin,East,NBA,1977,False,12
John Havlicek,East,NBA,1977,False,13
Elvin Hayes,East,NBA,1977,False,12
Pete Maravich,East,NBA,1977,False,5
Bob McAdoo,East,NBA,1977,False,5
George McGinnis,East,NBA,1977,False,6
Earl Monroe,East,NBA,1977,False,4
Rudy Tomjanovich,East,NBA,1977,False,5
Jo Jo White,East,NBA,1977,False,7
Kareem Abdul-Jabbar,West,NBA,1977,False,19
Rick Barry,West,NBA,1977,False,12
Don Buse,West,NBA,1977,False,2
Dan Issel,West,NBA,1977,False,7
Bobby Jones,West,NBA,1977,False,5
Billy Knight,West,NBA,1977,False,3
Bob Lanier,West,NBA,1977,False,8
Maurice Lucas,West,NBA,1977,False,5
Phil Smith,West,NBA,1977,False,2
David Thompson,West,NBA,1977,False,5
Norm Van Lier,West,NBA,1977,False,3
Bill Walton,West,NBA,1977,True,2
Paul Westphal,West,NBA,1977,False,5
Marvin Barnes,All Stars,ABA,1976,False,2
Ron Boone,All Stars,ABA,1976,False,4
Don Buse,All Stars,ABA,1976,False,2
Julius Erving,All Stars,ABA,1976,False,16
George Gervin,All Stars,ABA,1976,False,12
Artis Gilmore,All Stars,ABA,1976,False,11
Larry Kenon,All Stars,ABA,1976,False,5
Billy Knight,All Stars,ABA,1976,False,3
Maurice Lucas,All Stars,ABA,1976,False,5
Billy Paultz,All Stars,ABA,1976,False,3
James Silas,All Stars,ABA,1976,False,2
Brian Taylor,All Stars,ABA,1976,False,2
Byron Beck,Denver,ABA,1976,False,2
Roger Brown,Denver,ABA,1976,False,5
Jimmy Foster,Denver,ABA,1976,False,1
Gus Gerard,Denver,ABA,1976,False,1
Dan Issel,Denver,ABA,1976,False,7
Bobby Jones,Denver,ABA,1976,False,5
Ralph Simpson,Denver,ABA,1976,False,5
Claude Terry,Denver,ABA,1976,False,1
David Thompson,Denver,ABA,1976,False,5
Monte Towe,Denver,ABA,1976,False,1
Chuck Williams,Denver,ABA,1976,False,2
Dave Bing,East,NBA,1976,False,7
Doug Collins,East,NBA,1976,False,4
Dave Cowens,East,NBA,1976,False,8
John Drew,East,NBA,1976,False,2
Walt Frazier,East,NBA,1976,False,7
John Havlicek,East,NBA,1976,False,13
Elvin Hayes,East,NBA,1976,False,12
Bob McAdoo,East,NBA,1976,False,5
George McGinnis,East,NBA,1976,False,6
Randy Smith,East,NBA,1976,False,2
Rudy Tomjanovich,East,NBA,1976,False,5
Jo Jo White,East,NBA,1976,False,7
Kareem Abdul-Jabbar,West,NBA,1976,False,19
Alvan Adams,West,NBA,1976,False,1
Tiny Archibald,West,NBA,1976,False,6
Rick Barry,West,NBA,1976,False,12
Fred Brown,West,NBA,1976,False,1
Bob Dandridge,West,NBA,1976,False,4
Curtis Rowe,West,NBA,1976,False,1
Phil Smith,West,NBA,1976,False,2
Norm Van Lier,West,NBA,1976,False,3
Scott Wedman,West,NBA,1976,False,2
Jamaal Wilkes,West,NBA,1976,False,3
Brian Winters,West,NBA,1976,False,2
Marvin Barnes,East,ABA,1975,False,2
Louie Dampier,East,ABA,1975,False,7
Julius Erving,East,ABA,1975,False,16
Artis Gilmore,East,ABA,1975,False,11
Dan Issel,East,ABA,1975,False,7
Stew Johnson,East,ABA,1975,False,3
Larry Kenon,East,ABA,1975,False,5
Freddie Lewis,East,ABA,1975,False,3
Billy Paultz,East,ABA,1975,False,3
Brian Taylor,East,ABA,1975,False,2
Dave Twardzik,East,ABA,1975,False,1
Ron Boone,West,ABA,1975,False,4
Mack Calvin,West,ABA,1975,False,5
George Gervin,West,ABA,1975,False,12
Mike Green,West,ABA,1975,False,1
Caldwell Jones,West,ABA,1975,False,1
Moses Malone,West,ABA,1975,False,13
George McGinnis,West,ABA,1975,False,6
Swen Nater,West,ABA,1975,False,2
James Silas,West,ABA,1975,False,2
Ralph Simpson,West,ABA,1975,False,5
Phil Chenier,East,NBA,1975,False,3
Dave Cowens,East,NBA,1975,False,8
Walt Frazier,East,NBA,1975,False,7
John Havlicek,East,NBA,1975,False,13
Elvin Hayes,East,NBA,1975,False,12
Bob McAdoo,East,NBA,1975,False,5
Steve Mix,East,NBA,1975,False,1
Earl Monroe,East,NBA,1975,False,4
Paul Silas,East,NBA,1975,False,2
Rudy Tomjanovich,East,NBA,1975,False,5
Wes Unseld,East,NBA,1975,False,5
Jo Jo White,East,NBA,1975,False,7
Kareem Abdul-Jabbar,West,NBA,1975,False,19
Tiny Archibald,West,NBA,1975,False,6
Rick Barry,West,NBA,1975,False,12
Dave Bing,West,NBA,1975,False,7
Bob Dandridge,West,NBA,1975,False,4
Gail Goodrich,West,NBA,1975,False,5
Spencer Haywood,West,NBA,1975,False,5
Sam Lacey,West,NBA,1975,False,1
Bob Lanier,West,NBA,1975,False,8
Jim Price,West,NBA,1975,False,1
Charlie Scott,West,NBA,1975,False,5
Sidney Wicks,West,NBA,1975,False,4
Mack Calvin,East,ABA,1974,False,5
Louie Dampier,East,ABA,1974,False,7
Jim Eakins,East,ABA,1974,False,1
Julius Erving,East,ABA,1974,False,16
George Gervin,East,ABA,1974,False,12
Artis Gilmore,East,ABA,1974,False,11
Dan Issel,East,ABA,1974,False,7
Larry Kenon,East,ABA,1974,False,5
Ted McClain,East,ABA,1974,False,1
George Thompson,East,ABA,1974,False,3
Ron Boone,West,ABA,1974,False,4
Mel Daniels,West,ABA,1974,False,7
Warren Jabali,West,ABA,1974,False,4
Stew Johnson,West,ABA,1974,False,3
Jimmy Jones,West,ABA,1974,False,6
Rich Jones,West,ABA,1974,False,2
George McGinnis,West,ABA,1974,False,6
Swen Nater,West,ABA,1974,False,2
Ralph Simpson,West,ABA,1974,False,5
Willie Wise,West,ABA,1974,False,3
Austin Carr,East,NBA,1974,False,1
Phil Chenier,East,NBA,1974,False,3
Dave Cowens,East,NBA,1974,False,8
Dave DeBusschere,East,NBA,1974,False,8
Walt Frazier,East,NBA,1974,False,7
John Havlicek,East,NBA,1974,False,13
Elvin Hayes,East,NBA,1974,False,12
Lou Hudson,East,NBA,1974,False,6
Pete Maravich,East,NBA,1974,False,5
Bob McAdoo,East,NBA,1974,False,5
Rudy Tomjanovich,East,NBA,1974,False,5
Jo Jo White,East,NBA,1974,False,7
Kareem Abdul-Jabbar,West,NBA,1974,False,19
Rick Barry,West,NBA,1974,False,12
Dave Bing,West,NBA,1974,False,7
Gail Goodrich,West,NBA,1974,False,5
Spencer Haywood,West,NBA,1974,False,5
Bob Lanier,West,NBA,1974,False,8
Geoff Petrie,West,NBA,1974,False,2
Charlie Scott,West,NBA,1974,False,5
Nate Thurmond,West,NBA,1974,False,7
Norm Van Lier,West,NBA,1974,False,3
Chet Walker,West,NBA,1974,False,7
Jerry West,West,NBA,1974,True,14
Sidney Wicks,West,NBA,1974,False,4
Joe Caldwell,East,ABA,1973,False,4
Mack Calvin,East,ABA,1973,False,5
Billy Cunningham,East,ABA,1973,False,5
Louie Dampier,East,ABA,1973,False,7
Julius Erving,East,ABA,1973,False,16
Artis Gilmore,East,ABA,1973,False,11
Dan Issel,East,ABA,1973,False,7
Bill Melchionni,East,ABA,1973,False,3
Billy Paultz,East,ABA,1973,False,3
George Thompson,East,ABA,1973,False,3
Zelmo Beaty,West,ABA,1973,False,5
Mel Daniels,West,ABA,1973,False,7
Warren Jabali,West,ABA,1973,False,4
Stew Johnson,West,ABA,1973,False,3
Jimmy Jones,West,ABA,1973,False,6
Rich Jones,West,ABA,1973,False,2
George McGinnis,West,ABA,1973,False,6
Ralph Simpson,West,ABA,1973,False,5
Chuck Williams,West,ABA,1973,False,2
Willie Wise,West,ABA,1973,False,3
John Block,East,NBA,1973,False,1
Bill Bradley,East,NBA,1973,False,1
Dave Cowens,East,NBA,1973,False,8
Dave DeBusschere,East,NBA,1973,False,8
Walt Frazier,East,NBA,1973,False,7
John Havlicek,East,NBA,1973,False,13
Elvin Hayes,East,NBA,1973,False,12
Lou Hudson,East,NBA,1973,False,6
Bob Kauffman,East,NBA,1973,False,3
Pete Maravich,East,NBA,1973,False,5
Jack Marin,East,NBA,1973,False,2
Wes Unseld,East,NBA,1973,False,5
Jo Jo White,East,NBA,1973,False,7
Lenny Wilkens,East,NBA,1973,False,9
Kareem Abdul-Jabbar,West,NBA,1973,True,19
Tiny Archibald,West,NBA,1973,False,6
Rick Barry,West,NBA,1973,True,12
Dave Bing,West,NBA,1973,False,7
Wilt Chamberlain,West,NBA,1973,False,13
Bob Dandridge,West,NBA,1973,False,4
Gail Goodrich,West,NBA,1973,False,5
Connie Hawkins,West,NBA,1973,False,5
Spencer Haywood,West,NBA,1973,False,5
Bob Lanier,West,NBA,1973,False,8
Bob Love,West,NBA,1973,False,3
Charlie Scott,West,NBA,1973,False,5
Nate Thurmond,West,NBA,1973,False,7
Chet Walker,West,NBA,1973,False,7
Jerry West,West,NBA,1973,False,14
Sidney Wicks,West,NBA,1973,False,4
Rick Barry,East,ABA,1972,False,12
John Brisker,East,ABA,1972,False,2
Mack Calvin,East,ABA,1972,False,5
Louie Dampier,East,ABA,1972,False,7
Julius Erving,East,ABA,1972,False,16
Artis Gilmore,East,ABA,1972,False,11
Dan Issel,East,ABA,1972,False,7
Warren Jabali,East,ABA,1972,False,4
Jim McDaniels,East,ABA,1972,False,1
Bill Melchionni,East,ABA,1972,False,3
Charlie Scott,East,ABA,1972,False,5
George Thompson,East,ABA,1972,False,3
Zelmo Beaty,West,ABA,1972,False,5
Arthur Becker,West,ABA,1972,False,2
Roger Brown,West,ABA,1972,False,5
Glen Combs,West,ABA,1972,False,3
Mel Daniels,West,ABA,1972,False,7
Donnie Freeman,West,ABA,1972,False,5
Steve Jones,West,ABA,1972,False,3
Wil Jones,West,ABA,1972,False,1
Wendell Ladner,West,ABA,1972,False,2
Freddie Lewis,West,ABA,1972,False,3
Ralph Simpson,West,ABA,1972,False,5
Willie Wise,West,ABA,1972,False,3
Butch Beard,East,NBA,1972,False,1
Archie Clark,East,NBA,1972,False,2
Dave Cowens,East,NBA,1972,False,8
Billy Cunningham,East,NBA,1972,False,5
Dave DeBusschere,East,NBA,1972,False,8
Walt Frazier,East,NBA,1972,False,7
John Havlicek,East,NBA,1972,False,13
Lou Hudson,East,NBA,1972,False,6
John Johnson,East,NBA,1972,False,2
Bob Kauffman,East,NBA,1972,False,3
Jack Marin,East,NBA,1972,False,2
Wes Unseld,East,NBA,1972,False,5
Tom Van Arsdale,East,NBA,1972,False,3
Jo Jo White,East,NBA,1972,False,7
Kareem Abdul-Jabbar,West,NBA,1972,False,19
Wilt Chamberlain,West,NBA,1972,False,13
Gail Goodrich,West,NBA,1972,False,5
Connie Hawkins,West,NBA,1972,False,5
Elvin Hayes,West,NBA,1972,False,12
Spencer Haywood,West,NBA,1972,False,5
Bob Lanier,West,NBA,1972,False,8
Bob Love,West,NBA,1972,False,3
Oscar Robertson,West,NBA,1972,False,12
Cazzie Russell,West,NBA,1972,False,1
Paul Silas,West,NBA,1972,False,2
Jimmy Walker,West,NBA,1972,False,2
Jerry West,West,NBA,1972,False,14
Sidney Wicks,West,NBA,1972,False,4
Rick Barry,East,ABA,1971,False,12
John Brisker,East,ABA,1971,False,2
Joe Caldwell,East,ABA,1971,False,4
Mack Calvin,East,ABA,1971,False,5
George Carter,East,ABA,1971,False,1
Dan Issel,East,ABA,1971,False,7
Neil Johnson,East,ABA,1971,False,1
Larry Jones,East,ABA,1971,False,4
Mike Lewis,East,ABA,1971,False,2
Bill Melchionni,East,ABA,1971,False,3
Cincinnatus Powell,East,ABA,1971,False,2
Charlie Scott,East,ABA,1971,False,5
Zelmo Beaty,West,ABA,1971,False,5
Ron Boone,West,ABA,1971,False,4
Roger Brown,West,ABA,1971,False,5
Glen Combs,West,ABA,1971,False,3
Mel Daniels,West,ABA,1971,False,7
Donnie Freeman,West,ABA,1971,False,5
Jimmy Jones,West,ABA,1971,False,6
Steve Jones,West,ABA,1971,False,3
Julius Keye,West,ABA,1971,False,1
Wendell Ladner,West,ABA,1971,False,2
Bob Netolicky,West,ABA,1971,False,4
Red Robbins,West,ABA,1971,False,4
Billy Cunningham,East,NBA,1971,False,5
Dave DeBusschere,East,NBA,1971,False,8
Walt Frazier,East,NBA,1971,False,7
Johnny Green,East,NBA,1971,False,4
John Havlicek,East,NBA,1971,False,13
Lou Hudson,East,NBA,1971,False,6
Gus Johnson,East,NBA,1971,False,5
John Johnson,East,NBA,1971,False,2
Bob Kauffman,East,NBA,1971,False,3
Earl Monroe,East,NBA,1971,False,4
Willis Reed,East,NBA,1971,False,7
Wes Unseld,East,NBA,1971,False,5
Tom Van Arsdale,East,NBA,1971,False,3
Jo Jo White,East,NBA,1971,False,7
Kareem Abdul-Jabbar,West,NBA,1971,False,19
Dave Bing,West,NBA,1971,False,7
Wilt Chamberlain,West,NBA,1971,False,13
Connie Hawkins,West,NBA,1971,False,5
Elvin Hayes,West,NBA,1971,False,12
Bob Love,West,NBA,1971,False,3
Jerry Lucas,West,NBA,1971,False,7
Jeff Mullins,West,NBA,1971,False,3
Geoff Petrie,West,NBA,1971,False,2
Oscar Robertson,West,NBA,1971,False,12
